ref,round,root,method,accepted,rejected,operator,fallback_reason,degraded,relative_gap,absolute_gap,cosine,applied_norm,reference_norm
ref_00,0,cohort_mean,fltrust_normalized,68,22,fltrust,none,False,5.0077363160708156e-08,2.4039983367918396e-08,0.9999999999999998,0.48005690495067516,0.4800568929871435
ref_00,0,cohort_mean,fltrust,68,22,fltrust,none,False,0.013952308824285668,0.006697902024183682,0.9999854524211931,0.47387278808353556,0.4800568929871435
ref_00,0,small,fltrust_normalized,68,22,fltrust,none,False,5.100722742985457e-08,9.389426314399604e-09,0.9999999999999993,0.18408031622825524,0.1840803115070702
ref_00,0,small,fltrust,68,22,fltrust,none,False,5.100722742985457e-08,9.389426314399604e-09,0.9999999999999993,0.18408031622825524,0.1840803115070702
ref_00,0,large,fltrust_normalized,68,22,fltrust,none,False,5.040791490024049e-08,5.8869726503803156e-08,0.9999999999999993,1.1678667537602052,1.167866725301155
ref_00,0,large,fltrust,68,22,fltrust,none,False,0.5864653491627173,0.6849133668292611,0.9999027127402458,0.4830334923691954,1.167866725301155
ref_00,0,unrelated,fltrust_normalized,45,45,fltrust,none,False,8.337035496955712e-08,3.6640668006341806e-08,0.999999999999997,0.43949277463555875,0.43949276717990743
ref_00,0,unrelated,fltrust,45,45,fltrust,none,False,0.01845771741043983,0.008112033300538956,0.9999774495324283,0.4319268150337018,0.43949276717990743
ref_00,9,cohort_mean,fltrust_normalized,70,20,fltrust,none,False,1.678990774363498e-07,4.7963960704382784e-08,0.9999999999999881,0.28567139384253554,0.28567137733419545
ref_00,9,cohort_mean,fltrust,70,20,fltrust,none,False,0.41305902293984537,0.11799914000354265,0.930664250499629,0.21109734875198216,0.28567137733419545
ref_00,9,small,fltrust_normalized,70,20,fltrust,none,False,1.6815482601492251e-07,1.2356183257929603e-08,0.9999999999999878,0.07348099529161184,0.07348099100547421
ref_00,9,small,fltrust,70,20,fltrust,none,False,1.6815482601492251e-07,1.2356183257929603e-08,0.9999999999999878,0.07348099529161184,0.07348099100547421
ref_00,9,large,fltrust_normalized,70,20,fltrust,none,False,1.6706038509667437e-07,1.2337383746729404e-07,0.9999999999999882,0.7384985050860248,0.7384984620734603
ref_00,9,large,fltrust,70,20,fltrust,none,False,0.7392997894768778,0.5459717575399072,0.9261934751661223,0.2143640264550669,0.7384984620734603
ref_00,9,unrelated,fltrust_normalized,40,50,fltrust,none,False,5.053656114951241e-08,2.6655429114613236e-08,0.9999999999999996,0.527448432721349,0.5274484157272425
ref_00,9,unrelated,fltrust,40,50,fltrust,none,False,0.4432660702143,0.2337999864801732,0.9990718160651951,0.294265425068657,0.5274484157272425
ref_00,29,cohort_mean,fltrust_normalized,69,21,fltrust,none,False,7.636722069879132e-08,2.1133426180838746e-08,0.9999999999999974,0.2767342606869687,0.27673425833046233
ref_00,29,cohort_mean,fltrust,69,21,fltrust,none,False,0.2919269858416379,0.08078619791353304,0.9595798323414237,0.24408641345596496,0.27673425833046233
ref_00,29,small,fltrust_normalized,69,21,fltrust,none,False,7.716766262188001e-08,5.654349823843521e-09,0.9999999999999976,0.07327356659121897,0.07327356604734449
ref_00,29,small,fltrust,69,21,fltrust,none,False,7.716766262188001e-08,5.654349823843521e-09,0.9999999999999976,0.07327356659121897,0.07327356604734449
ref_00,29,large,fltrust_normalized,69,21,fltrust,none,False,7.644083318954124e-08,5.485728229124222e-08,0.9999999999999977,0.7176437043593366,0.717643699084482
ref_00,29,large,fltrust,69,21,fltrust,none,False,0.6784237275024109,0.48686651335151276,0.957994858863956,0.24627186428625827,0.717643699084482
ref_00,29,unrelated,fltrust_normalized,56,34,fltrust,none,False,9.580677651469912e-08,2.8134766777151728e-08,0.9999999999999969,0.2936615372193112,0.29366155297830276
ref_00,29,unrelated,fltrust,56,34,fltrust,none,False,0.2463820662451721,0.0723529401995603,0.9691921797878678,0.2864152732797821,0.29366155297830276
ref_01,0,cohort_mean,fltrust_normalized,62,28,fltrust,none,False,2.3732935973223407e-07,9.629172996697433e-08,0.9999999999999725,0.4057303602924793,0.4057303743439712
ref_01,0,cohort_mean,fltrust,62,28,fltrust,none,False,0.012208914920022405,0.004953527620834386,0.9999804749729009,0.4014669629881409,0.4057303743439712
ref_01,0,small,fltrust_normalized,62,28,fltrust,none,False,2.379875092190158e-07,2.921651460735879e-08,0.9999999999999727,0.12276490348498179,0.1227649077182086
ref_01,0,small,fltrust,62,28,fltrust,none,False,2.379875092190158e-07,2.921651460735879e-08,0.9999999999999727,0.12276490348498179,0.1227649077182086
ref_01,0,large,fltrust_normalized,62,28,fltrust,none,False,2.389041686115611e-07,2.1597242216530125e-07,0.9999999999999725,0.904012750178793,0.9040127822819826
ref_01,0,large,fltrust,62,28,fltrust,none,False,0.5316111260406728,0.4805832531440864,0.9997977458262671,0.42359071342283566,0.9040127822819826
ref_01,0,unrelated,fltrust_normalized,37,53,fltrust,none,False,6.760986113208925e-08,3.0843105767236757e-08,0.9999999999999989,0.4561923963751366,0.4561924141062595
ref_01,0,unrelated,fltrust,37,53,fltrust,none,False,0.38775364155544845,0.17689026981967323,0.988357807080036,0.2881772276422707,0.4561924141062595
ref_01,9,cohort_mean,fltrust_normalized,67,23,fltrust,none,False,1.933939588960706e-07,5.7632742660328523e-08,0.999999999999982,0.2980069364841123,0.29800694390511034
ref_01,9,cohort_mean,fltrust,67,23,fltrust,none,False,0.1314883243058484,0.039184433685589916,0.9958663101191585,0.26844264305473525,0.29800694390511034
ref_01,9,small,fltrust_normalized,67,23,fltrust,none,False,1.9441879084256588e-07,2.0878789377117508e-08,0.9999999999999817,0.10739079682723564,0.1073907994522221
ref_01,9,small,fltrust,67,23,fltrust,none,False,1.9441879084256588e-07,2.0878789377117508e-08,0.9999999999999817,0.10739079682723564,0.1073907994522221
ref_01,9,large,fltrust_normalized,67,23,fltrust,none,False,1.9443921389324827e-07,1.616122567595989e-07,0.999999999999982,0.8311710863067339,0.8311711075335239
ref_01,9,large,fltrust,67,23,fltrust,none,False,0.6796190026806689,0.5648796791589205,0.9953716437663434,0.26812034821018055,0.8311711075335239
ref_01,9,unrelated,fltrust_normalized,54,36,fltrust,none,False,8.416295153611924e-08,2.9320599259515363e-08,0.9999999999999972,0.34837894638911104,0.3483789330621584
ref_01,9,unrelated,fltrust,54,36,fltrust,none,False,0.17099809914498032,0.05957213533578542,0.994118132946985,0.30022885231016955,0.3483789330621584
ref_01,29,cohort_mean,fltrust_normalized,68,22,fltrust,none,False,2.0383208514570628e-07,6.332697583759819e-08,0.9999999999999796,0.3106820823222279,0.3106820783015091
ref_01,29,cohort_mean,fltrust,68,22,fltrust,none,False,0.13278976461617292,0.041255400048120804,0.9962056368107882,0.2783438349468873,0.3106820783015091
ref_01,29,small,fltrust_normalized,68,22,fltrust,none,False,2.029319884824371e-07,2.3079365215948755e-08,0.9999999999999798,0.11372955895486071,0.11372955731888557
ref_01,29,small,fltrust,68,22,fltrust,none,False,2.029319884824371e-07,2.3079365215948755e-08,0.9999999999999798,0.11372955895486071,0.11372955731888557
ref_01,29,large,fltrust_normalized,68,22,fltrust,none,False,2.0587397564385933e-07,1.8023388766822338e-07,0.9999999999999791,0.8754573745007885,0.8754573622263425
ref_01,29,large,fltrust,68,22,fltrust,none,False,0.6844366686645565,0.5991951205600579,0.9954703600035416,0.27810559541847196,0.8754573622263425
ref_01,29,unrelated,fltrust_normalized,49,41,fltrust,none,False,1.2792496976708479e-07,2.3203334547727218e-08,0.9999999999999939,0.18138238371234555,0.18138237272968627
ref_01,29,unrelated,fltrust,49,41,fltrust,none,False,0.1111777278299138,0.02016568006848504,0.9938178484996112,0.1791971554700408,0.18138237272968627
